Counties,States,Time,Subscriber,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
Ouachita County,Arkansas,2017-1-6-0-0,97905913,-75,-8,4.45,1.15,11.23,12.7,829841,3.43,0.9,3.19,157891,30571,46355,1336
Perry County,Arkansas,2017-1-6-0-0,66674401,-61,-14,1.2,0.07,8.62,19.8,289439,1.82,3.21,8.46,331575,41006,41352,2309
Phillips County,Arkansas,2017-1-6-0-0,40559615,-79,-14,2.29,4.31,4.41,9,131687,0.8,5.2,9.97,143469,35621,8884,2367
Pike County,Arkansas,2017-1-6-0-0,66546424,-118,-14,1.18,4.7,11.5,17.9,718390,4.33,4.47,11.27,837614,30788,32466,3357
Poinsett County,Arkansas,2017-1-6-0-0,63500617,-60,-12,3.3,2.59,8.61,16.3,294976,3.81,1.36,3.13,406421,17797,46541,3011
Polk County,Arkansas,2017-1-6-0-0,10636803,-76,-13,4.32,1.5,3.03,4,471234,5.44,4.54,8.13,147075,45881,32899,1395
Pope County,Arkansas,2017-1-6-0-0,66368952,-90,-14,1.64,3.48,10.71,0.8,921182,3.63,0.38,11.3,704804,33421,19672,4750
Prairie County,Arkansas,2017-1-6-0-0,5389640,-81,-11,4.02,3.5,0.27,15.5,141761,4.12,2.98,0.35,204502,49839,10116,4702
Pulaski County,Arkansas,2017-1-6-0-0,68452210,-77,-12,2.38,3.18,3.21,8.7,806246,4.23,2.21,5.14,176677,30123,2378,1655
Randolph County,Arkansas,2017-1-6-0-0,65592669,-118,-7,2.53,1.33,9.23,10.6,966126,2.07,1.91,0.24,285361,35482,3831,241
St. Francis County,Arkansas,2017-1-6-0-0,21318373,-91,-11,1.93,4.52,3.73,3.6,435478,4.92,5.49,4.47,288227,30672,27704,3999
Saline County,Arkansas,2017-1-6-0-0,7344716,-108,-7,3.67,4.6,8.83,6.4,337056,0.98,2.91,9.95,616843,34924,9541,2753
Scott County,Arkansas,2017-1-6-0-0,46633611,-60,-7,2.43,2.89,3.11,16.2,976858,1.39,3.68,0.06,676063,41123,25916,4426
Searcy County,Arkansas,2017-1-6-0-0,76366908,-79,-6,4.72,3.45,10.16,6.3,523131,4.83,4.29,11.1,463808,49338,43911,4044
Sebastian County,Arkansas,2017-1-6-0-0,81348886,-100,-10,4.6,0.9,1.99,13.1,592251,2.06,1.57,7.38,767118,7823,45299,719
Sevier County,Arkansas,2017-1-6-0-0,94627230,-73,-9,1.03,4.18,4.42,4.7,796060,4.2,0.73,10.46,355253,28773,34554,3101
Sharp County,Arkansas,2017-1-6-0-0,36610604,-73,-8,0.05,2.34,7.18,10.4,591926,0.84,0.7,11.32,318536,17897,36866,839
Stone County,Arkansas,2017-1-6-0-0,45832389,-88,-13,5.48,2.4,2.53,9.6,799889,1.42,2.88,3.68,497577,44931,31221,3132
Union County,Arkansas,2017-1-6-0-0,28227823,-104,-6,1.53,2.52,11.37,7.1,703294,5.41,0.85,9.99,842249,31011,27909,3096
Van Buren County,Arkansas,2017-1-6-0-0,74202676,-119,-9,3.59,4.45,3.72,14.7,296772,1.08,4.75,6.43,561379,31829,6402,4112
Washington County,Arkansas,2017-1-6-0-0,37798178,-73,-6,2.37,2.25,9.57,10.6,431149,1.91,3.47,7.6,866805,9404,4622,2744
White County,Arkansas,2017-1-6-0-0,3888482,-114,-7,3.51,2.38,2.52,11.1,901448,4.28,0.16,1.7,730713,5464,36204,1185
Woodruff County,Arkansas,2017-1-6-0-0,70765171,-81,-12,5.07,4.61,2.2,16.7,421188,0.15,1.12,1.31,436751,4912,13641,2971
Yell County,Arkansas,2017-1-6-0-0,53970920,-101,-10,0.56,3.94,5.57,16.3,965404,4.54,1.99,11.64,978204,13935,27496,2927
Alameda County,California,2017-1-6-0-0,43210376,-77,-6,0.3,1.08,2.39,17,177707,2.1,0.26,9.96,598996,46837,4294,4110
Alpine County,California,2017-1-6-0-0,13004993,-82,-15,4.32,2.75,10.24,5.5,378566,3.3,0.25,11.34,556394,1004,42363,2003
Amador County,California,2017-1-6-0-0,44216082,-88,-13,1.45,1.07,9.96,12.1,443440,4.18,4.76,11.66,433729,16493,9443,1885
Butte County,California,2017-1-6-0-0,55804768,-70,-6,2.05,1.43,8.71,4.8,501533,0.94,2.78,7.23,483875,39285,23982,697
Calaveras County,California,2017-1-6-0-0,92465704,-72,-7,4.34,1.83,7.58,13.3,874823,0.76,4.15,11.78,588140,35486,30029,3319
Colusa County,California,2017-1-6-0-0,5836393,-64,-15,4.82,4.45,9.74,7,915707,0.8,2.15,9.9,568397,24577,49211,4051
Contra Costa County,California,2017-1-6-0-0,12206789,-92,-11,2.42,1.16,0.89,14.7,392497,4.08,3.73,3.91,270267,41243,34313,172
Del Norte County,California,2017-1-6-0-0,41562276,-97,-8,4.17,4.3,4.66,17.3,474457,4.45,0.25,7.46,819707,28972,7941,1228
El Dorado County,California,2017-1-6-0-0,26375697,-65,-12,4.83,4.64,4.07,9.7,872810,4.56,3.72,5.51,746151,22922,12327,4245
Fresno County,California,2017-1-6-0-0,39808523,-64,-12,4.12,5.3,0.46,18.9,951349,4.07,2.41,7.8,447084,20923,28426,1827
Glenn County,California,2017-1-6-0-0,15976466,-72,-14,0.43,1.52,2.66,11.9,586718,4.03,0.6,2.62,333123,15612,5221,2516
Humboldt County,California,2017-1-6-0-0,67821205,-62,-9,1.13,4.57,5.45,6.2,838157,0.89,4.97,10.34,676017,3458,12144,2752
Imperial County,California,2017-1-6-0-0,88331066,-63,-10,3.06,1.45,6.02,2.6,236145,0.2,1.08,11.46,795355,32986,44311,2479
Inyo County,California,2017-1-6-0-0,57255067,-120,-10,3.48,3.91,6.56,8.9,964921,0.82,0.94,1.4,628335,2789,27032,2196
Kern County,California,2017-1-6-0-0,72417354,-80,-6,2.86,1.29,9.11,4.2,885630,5.09,4.71,9.12,619744,19788,15754,1604
Kings County,California,2017-1-6-0-0,18439623,-70,-11,2.1,1.41,5.43,11.5,708627,1.58,5.39,6.93,493404,47912,25647,3380
Lake County,California,2017-1-6-0-0,41345815,-64,-7,4.25,3.87,7.71,17.2,127168,2.35,4.9,5.6,917682,17911,18533,4525
Lassen County,California,2017-1-6-0-0,2118781,-119,-10,3.31,1.23,7.72,18.3,731055,4.07,0.94,11.47,146389,36369,22162,4501
Los Angeles County,California,2017-1-6-0-0,77811942,-88,-8,0.4,2.15,2.13,4.7,659832,3.99,4.09,10.68,296134,8863,15591,2887
Madera County,California,2017-1-6-0-0,23927241,-116,-14,4.44,2.71,5.08,2.8,533836,4.59,5.08,6.77,541581,9179,33596,686
Marin County,California,2017-1-6-0-0,36901292,-92,-11,5.32,4.31,8.29,10.9,274431,5.45,2.86,3.58,680262,49253,31797,1496
Mariposa County,California,2017-1-6-0-0,50167977,-97,-7,2.96,2.89,11.37,12.2,874475,5.16,4.03,9.3,256737,12383,31968,2618
Mendocino County,California,2017-1-6-0-0,20443640,-71,-7,3.88,4.17,3.77,7.9,529882,1.9,0.69,10.74,530555,45519,40392,4360
Merced County,California,2017-1-6-0-0,52438063,-119,-9,5.02,0.66,4.68,8.8,726979,3.17,5.21,1.97,486121,20664,37911,875
Modoc County,California,2017-1-6-0-0,56302006,-110,-11,4.87,1.25,9.32,10.4,819698,5.38,2.04,5.83,347692,4103,40089,4884
Mono County,California,2017-1-6-0-0,73459019,-103,-11,5.22,1.44,4.48,11.8,923778,1.62,0.08,3.58,975135,1694,31633,2178
Monterey County,California,2017-1-6-0-0,60010122,-83,-12,1.23,0.1,1.06,10.2,183928,2.56,1.87,10.39,293583,47171,49524,1782
Napa County,California,2017-1-6-0-0,25540701,-62,-7,3.15,2.41,4.77,1.5,777188,4.55,1.1,4.65,634959,22261,37165,1827
Nevada County,California,2017-1-6-0-0,11613284,-72,-16,4.71,0.47,10.25,19.1,599574,4.85,4.56,8.4,436545,2659,26487,4435
Orange County,California,2017-1-6-0-0,5040933,-86,-12,2.73,3.36,11.44,13.1,680229,0.5,2.86,5.74,876931,26139,32473,3625
Placer County,California,2017-1-6-0-0,12808563,-72,-8,0.34,0.81,5.1,14.6,467753,3.27,1.3,9.82,246521,16337,8449,3229
Plumas County,California,2017-1-6-0-0,35768513,-115,-7,3.64,4.01,4.37,5.8,449045,4.75,1.25,10.7,961877,35228,44090,1037
Riverside County,California,2017-1-6-0-0,29678825,-104,-15,1.49,3.72,7.47,14.8,394958,0.94,1.84,5.82,864916,11503,28153,2080
Sacramento County,California,2017-1-6-0-0,7460516,-65,-13,4.82,0.97,6.09,8.5,151434,4.33,3.79,4.23,240254,7828,2171,2493
San Benito County,California,2017-1-6-0-0,94554053,-61,-11,3.34,2.24,8.27,11.4,939472,1.88,1.65,9.86,484840,28926,43135,2088
San Bernardino County,California,2017-1-6-0-0,7379434,-64,-9,3.79,3.85,0.56,14.7,854541,0.67,3.17,1.19,705201,23280,13043,486
San Diego County,California,2017-1-6-0-0,17270803,-81,-15,4.23,0.81,0.99,10.1,914591,1.82,3.29,7.2,280493,13177,41392,2717
"San Francisco, City and County of",California,2017-1-6-0-0,32630294,-91,-7,0.62,4.72,1.08,15.1,690699,1.53,3.31,7.01,308849,9180,20652,2997
San Joaquin County,California,2017-1-6-0-0,62029173,-66,-8,2.33,4.04,11.04,19.9,703302,3.84,1.48,4.48,289779,23395,39450,609
San Luis Obispo County,California,2017-1-6-0-0,99980070,-117,-7,0.38,5.37,4.71,14.9,761367,4.41,0.61,9.18,706121,29357,17822,1711
San Mateo County,California,2017-1-6-0-0,4534531,-100,-9,3.76,0.21,9.28,19.9,320722,4.91,3.69,2.96,825660,18517,7105,353
Santa Barbara County,California,2017-1-6-0-0,81956413,-116,-11,0.59,0.28,0.45,13.9,925898,2.57,0.78,1.47,922360,8486,15710,2277
Santa Clara County,California,2017-1-6-0-0,73184040,-60,-7,1.63,0.34,8.79,16.7,787744,2.65,2.87,11.28,734249,5249,38208,889
Santa Cruz County,California,2017-1-6-0-0,51588698,-96,-11,1.45,4.86,8.85,17.9,638325,2.57,3.72,6.19,685813,23753,3597,1027
Shasta County,California,2017-1-6-0-0,21672114,-91,-7,5.22,4.75,1.05,6,617133,0.29,2.84,4.23,769046,43881,8704,2048
Sierra County,California,2017-1-6-0-0,88607528,-86,-8,3.46,1.98,9.44,18.7,290913,3.7,5.09,7.79,605410,31107,41307,3611
Siskiyou County,California,2017-1-6-0-0,67043853,-70,-10,4.11,0.8,6.3,19.9,593602,1.2,1.21,4.76,333246,2114,14974,2492
Solano County,California,2017-1-6-0-0,81192002,-62,-14,0.7,1.02,6.34,18.3,964820,0.43,3.54,1.48,218974,39008,33437,379
Sonoma County,California,2017-1-6-0-0,10230244,-66,-8,1.54,1.58,0.62,16.8,216598,5.34,0.19,3.96,245448,14618,39095,102
Stanislaus County,California,2017-1-6-0-0,40578339,-89,-12,2.09,3.92,6.93,16.9,277181,2.11,0.73,0.22,172431,47589,34104,1412
Sutter County,California,2017-1-6-0-0,2833342,-114,-9,3.44,1.38,4.01,6.2,920615,2.59,1.33,10.84,492142,46247,36289,2681
Tehama County,California,2017-1-6-0-0,86802261,-74,-10,5.13,3.34,0.92,16.9,333165,4.03,1.27,2.88,550938,3272,10863,3580
Trinity County,California,2017-1-6-0-0,78177779,-86,-13,2.58,2.5,11.16,8.6,788710,4.19,2.65,0.53,812938,29939,12444,3914
Tulare County,California,2017-1-6-0-0,13983690,-106,-15,1.06,1.97,9.8,6,738985,4.21,0.65,3.77,338734,19467,10255,2034
Tuolumne County,California,2017-1-6-0-0,49118005,-116,-6,4.07,3.27,7.88,12.7,132719,3.26,0.5,9.96,268405,11246,19086,1198
Ventura County,California,2017-1-6-0-0,35657797,-94,-13,1.82,1.83,7.55,0.5,775904,1.47,4.25,7.35,892096,6146,46044,1079
Yolo County,California,2017-1-6-0-0,56915908,-101,-15,5.47,4.85,10.51,19.6,245056,3.29,3.74,4.22,682496,49232,23201,3806
Yuba County,California,2017-1-6-0-0,66394432,-101,-7,2.56,5.47,1.92,19.4,773751,1.03,1.02,6.06,954405,9974,28636,1105
Adams County,Colorado,2017-1-6-0-0,93989859,-71,-13,1.12,1.46,5.33,18.8,158150,2.83,1.3,5.03,881573,19749,15212,1510
Alamosa County,Colorado,2017-1-6-0-0,32735023,-73,-9,5.03,3.78,9.28,15.9,859698,4.29,1.7,2.96,346236,37179,35634,4514
Arapahoe County,Colorado,2017-1-6-0-0,11644141,-83,-15,2.03,5.08,9.04,12.9,230321,0.18,3.74,2.42,626226,5175,12232,1450
Archuleta County,Colorado,2017-1-6-0-0,58575537,-76,-13,0.09,2.43,10.85,3.7,935404,2.51,4.96,11.02,470175,23564,33142,4702
Baca County,Colorado,2017-1-6-0-0,44439362,-87,-14,3.18,3.67,9.35,3.2,833684,4.75,3.41,8.64,883668,6293,14570,498
Bent County,Colorado,2017-1-6-0-0,16531412,-93,-8,0.09,1.08,5.77,10.9,840220,2.22,0.49,8.67,402625,38400,25506,3195
Boulder County,Colorado,2017-1-6-0-0,14211095,-105,-6,3.22,0.22,6.77,12.5,233978,3.41,0.34,7.56,732721,11623,42830,2290
"Broomfield, City and County of",Colorado,2017-1-6-0-0,9778093,-113,-13,1.27,1.19,7.33,12.3,434812,5.23,1.51,5.81,800133,9251,19650,437
Chaffee County,Colorado,2017-1-6-0-0,33272854,-104,-12,4.85,3.13,2.77,5.1,890154,4.74,2.96,0.28,753549,44797,25959,1266
Cheyenne County,Colorado,2017-1-6-0-0,11890811,-63,-13,0.45,3.56,5.74,8.4,469162,4.37,4.11,1.29,657828,32896,26076,1210
Clear Creek County,Colorado,2017-1-6-0-0,7505627,-80,-6,2.29,0.64,1.48,8,661509,3.09,2.44,3.42,243658,44123,23615,1691
Conejos County,Colorado,2017-1-6-0-0,50796642,-84,-11,2.19,4.74,5.75,13.3,524777,1.62,2.07,11.04,149798,4821,9043,2391
Costilla County,Colorado,2017-1-6-0-0,69088655,-103,-16,5.31,3,11.76,10,851244,2.21,3.79,8.6,128819,28055,13638,852
Crowley County,Colorado,2017-1-6-0-0,11981078,-106,-10,5.07,0.82,1.62,6.5,915746,4.46,4.13,11.06,344983,36883,33213,570
Custer County,Colorado,2017-1-6-0-0,37939728,-85,-6,1.5,4.16,9.47,8,425821,2.25,1.39,6.99,604825,16898,42021,2175
Delta County,Colorado,2017-1-6-0-0,70867759,-109,-15,2.7,0.25,4.1,11.1,200778,4.1,3.13,1.57,833097,34285,12393,903
"Denver, City and County of",Colorado,2017-1-6-0-0,98100017,-71,-14,2.04,1.24,1.4,0.8,683263,3.75,0.37,9.99,617883,33515,22047,4366
Dolores County,Colorado,2017-1-6-0-0,59230885,-92,-15,4.87,1.92,5.65,19.1,696189,2.58,0.33,0.47,708133,32892,43020,1598
Douglas County,Colorado,2017-1-6-0-0,19735881,-118,-13,2.53,5.12,9.09,12.3,719551,0.31,2.56,11.51,685751,42302,5607,2714
Eagle County,Colorado,2017-1-6-0-0,17827575,-73,-8,2.45,0.28,6.59,12,191774,0.76,0.55,5.32,492446,23657,39469,544
Elbert County,Colorado,2017-1-6-0-0,70227268,-78,-13,1.68,4.57,10.48,8.5,332604,2.42,4.82,8.44,795763,25614,41944,4413
El Paso County,Colorado,2017-1-6-0-0,9093661,-108,-8,1.63,2.53,4.44,8.4,223985,3,3.08,7.53,910587,39607,35028,1906
Fremont County,Colorado,2017-1-6-0-0,36663192,-91,-7,2.82,2.06,6.7,14,154141,1.88,3.04,9.98,856871,3886,1322,3809
Garfield County,Colorado,2017-1-6-0-0,62389314,-94,-16,4.31,2.87,7.54,15.4,660495,3.73,1.36,1.05,577657,49981,16882,309
Gilpin County,Colorado,2017-1-6-0-0,7572504,-67,-16,5.33,0.36,11.02,4.4,129001,1.2,1.62,11.4,450004,40902,15369,2399
Grand County,Colorado,2017-1-6-0-0,10084987,-85,-9,4.25,0.07,6.68,7.9,886097,3.61,0.46,0.98,852961,15854,20961,213
Gunnison County,Colorado,2017-1-6-0-0,44191428,-64,-6,1.49,2.27,6.42,7.4,885221,5.3,2.2,3.71,726926,33165,23311,4586
Hinsdale County,Colorado,2017-1-6-0-0,15674729,-110,-8,0.39,0.14,9.9,15.5,323254,3.1,0.88,6.05,515571,7886,19078,2332
Huerfano County,Colorado,2017-1-6-0-0,31699928,-64,-7,5.35,0.13,3.96,12.6,506578,1.73,0.92,8.64,815239,24308,41339,1903
Jackson County,Colorado,2017-1-6-0-0,4191765,-62,-13,1.33,3.28,10.49,13.6,908306,5.29,4.3,9.71,687144,28831,30955,158
Jefferson County,Colorado,2017-1-6-0-0,49289393,-106,-15,5.43,0.85,10.44,7.4,359521,1.12,2.44,11.39,672226,23431,14445,3691
Kiowa County,Colorado,2017-1-6-0-0,11454689,-70,-11,1.78,1.52,1.73,6.4,699191,1.83,0.13,7.21,375907,24155,46226,1024
Kit Carson County,Colorado,2017-1-6-0-0,90495165,-85,-6,1.81,3.52,9.44,4.9,799034,5.46,0.1,7.95,790252,26765,18518,3819
Lake County,Colorado,2017-1-6-0-0,31056358,-66,-10,1.14,0.69,6.19,14.7,610101,3.89,4.95,2.42,328645,22298,25719,269
La Plata County,Colorado,2017-1-6-0-0,24456092,-64,-13,1.03,0.5,5.59,3.8,472433,0.79,0.06,3.63,565148,27000,22419,4695
Larimer County,Colorado,2017-1-6-0-0,51056092,-114,-7,3.92,1.7,3.13,19.3,134181,0.93,3.24,6.43,304512,14882,49265,2530
Las Animas County,Colorado,2017-1-6-0-0,61300964,-107,-10,1.16,2.21,8.66,3.8,564892,4.4,2.77,9.15,308178,26452,49449,3740
Lincoln County,Colorado,2017-1-6-0-0,13337238,-62,-8,1.75,2,10.07,2.3,342041,3,1.75,8.87,226775,19106,31200,4087
Logan County,Colorado,2017-1-6-0-0,77824424,-105,-16,1.56,3.27,4.4,9.9,691614,3.77,0.22,1.82,290391,38003,45737,293
Mesa County,Colorado,2017-1-6-0-0,5207578,-88,-15,0.07,2.84,7.65,20,776488,4.97,1.4,3.93,903914,24322,23067,1190
Mineral County,Colorado,2017-1-6-0-0,36334217,-87,-6,2.6,0.81,4.12,0.5,759988,5.27,4.22,11.7,912377,44866,40335,639
Moffat County,Colorado,2017-1-6-0-0,95271519,-99,-8,4.79,4.41,9.45,6,179908,2.29,1.31,9.03,675027,7450,20730,3867
Montezuma County,Colorado,2017-1-6-0-0,49348895,-88,-8,2.05,1.62,8.2,14,924257,4.25,4.22,10.12,639144,14916,19546,3755
Montrose County,Colorado,2017-1-6-0-0,30024441,-71,-7,5.35,4.54,5.52,5.9,230183,0.51,1.46,9.13,727530,37990,24033,4919
Morgan County,Colorado,2017-1-6-0-0,14077212,-84,-15,0.07,2.84,4.33,13.4,489000,3.21,2.85,3.47,586153,3517,35668,2720
Otero County,Colorado,2017-1-6-0-0,25792623,-79,-9,2.17,0.73,11.19,7.4,720283,3.81,0.37,2.61,923509,4750,20982,3465
Ouray County,Colorado,2017-1-6-0-0,18228696,-78,-11,5.02,4.12,1.84,6.5,934059,1.19,0.21,7.9,752331,13513,25989,3824
Park County,Colorado,2017-1-6-0-0,17109611,-101,-12,2.58,4.75,6.98,19.3,484522,0.61,5.1,10.72,282855,21325,42564,765
Phillips County,Colorado,2017-1-6-0-0,73087898,-70,-15,1.67,5.5,7.02,17.9,494023,4.7,4.31,0.84,738894,3799,1830,4698
Pitkin County,Colorado,2017-1-6-0-0,39095115,-112,-8,2.29,4.49,1.13,0.9,621883,2.01,4.55,4.77,238855,16353,31452,2848
Prowers County,Colorado,2017-1-6-0-0,74924123,-101,-10,3.93,3.2,4.9,5.6,130239,1.58,5.08,0.55,381811,16593,26357,1550
Pueblo County,Colorado,2017-1-6-0-0,2978716,-81,-11,4.09,3.79,11.44,12.7,786208,0.68,0.66,8.15,500384,36274,33485,2654
Rio Blanco County,Colorado,2017-1-6-0-0,5844125,-81,-16,3.67,3.52,4.42,9,938441,4.8,0.85,11.55,709497,44797,30333,4186
Rio Grande County,Colorado,2017-1-6-0-0,95792432,-90,-7,1.39,4.42,10.97,11.9,135796,2.57,1.14,5.69,451361,3752,28432,3224
Routt County,Colorado,2017-1-6-0-0,49491815,-63,-11,4.17,1.06,7.21,9.1,696946,4.98,1.08,2.47,235031,49476,8082,4243
Saguache County,Colorado,2017-1-6-0-0,81940445,-75,-8,3.4,4.15,3,19.1,601390,3.57,2.8,10.39,727530,39113,29594,4034
San Juan County,Colorado,2017-1-6-0-0,85106245,-99,-16,1.34,2.95,11.32,8.9,817237,3.57,3.88,10.92,464659,43468,9117,1954
San Miguel County,Colorado,2017-1-6-0-0,53446964,-106,-6,3.19,2.6,10.15,10,656781,0.73,2.9,6.6,912948,22757,47837,753
Sedgwick County,Colorado,2017-1-6-0-0,55315834,-68,-12,2.33,3.58,10.6,3.4,419637,0.6,0.77,11.57,804232,29564,6652,3020
Summit County,Colorado,2017-1-6-0-0,31167493,-76,-7,4.75,4.85,9.44,7.4,952338,4.22,2.46,3.56,407647,14162,27064,4780
Teller County,Colorado,2017-1-6-0-0,27900136,-98,-16,0.27,3.05,10.73,15.4,645316,3.81,5.13,9.71,650923,26016,24337,4559
Washington County,Colorado,2017-1-6-0-0,30055526,-67,-14,1,4.82,3.48,11.8,863272,4.02,4.38,4.26,968005,14713,10609,1592
Weld County,Colorado,2017-1-6-0-0,47041730,-105,-15,4.75,2.8,8.48,14.6,467096,1.53,1.25,0.6,389978,36307,33185,1142
Yuma County,Colorado,2017-1-6-0-0,29640041,-100,-16,2.73,5.02,10.43,5.7,738965,3.41,5.43,6.16,549645,44982,40858,2926
Fairfield County,Connecticut,2017-1-6-0-0,69132019,-92,-15,1.01,0.67,11.84,8.2,951783,1.97,3.7,5.86,557111,11018,24488,1588
Hartford County,Connecticut,2017-1-6-0-0,10222585,-70,-8,0.29,4.53,9.83,6.3,256647,4.38,3.74,0.09,499610,18547,20913,36
Litchfield County,Connecticut,2017-1-6-0-0,65467563,-67,-10,4.18,2.9,0.14,17.4,185000,0.19,0.54,7.3,915865,5841,49092,4106
Middlesex County,Connecticut,2017-1-6-0-0,30681198,-80,-8,5.33,4.92,1.56,7.1,746997,0.62,0.97,7.37,593172,40895,40444,2698
New Haven County,Connecticut,2017-1-6-0-0,18653722,-69,-6,2.28,2.53,6.19,14.9,308661,4.85,2.17,2.25,352223,27847,27122,1616
New London County,Connecticut,2017-1-6-0-0,11436828,-116,-14,2.92,5.18,3.61,19.1,572619,2.05,5.49,10.11,704485,29195,23837,3164
Tolland County,Connecticut,2017-1-6-0-0,87230174,-69,-7,4.36,2.6,1.17,10.9,237487,4.62,0.53,10.01,704989,41199,22575,4795
Windham County,Connecticut,2017-1-6-0-0,30033222,-94,-9,0.09,2.3,8.54,12.3,815935,5.11,0.62,0.56,208776,14001,10262,1525
Kent County,Delaware,2017-1-6-0-0,34596638,-95,-10,0.62,2.78,5.18,15.2,424003,2.97,0.75,5.14,960749,13305,13263,4271
New Castle County,Delaware,2017-1-6-0-0,35740205,-103,-8,1.03,3.44,2.81,8.5,477689,3.06,5.38,10.39,155807,33005,49651,3323
Sussex County,Delaware,2017-1-6-0-0,51559857,-77,-11,4.37,5.4,2.95,14.7,430288,2.28,1.81,5.54,263557,42735,30151,4466
District of Columbia,District of Columbia,2017-1-6-0-0,79645985,-93,-14,5.01,0.74,3.45,5.1,396625,5.08,4.67,7.67,159503,8727,35653,2052
Alachua County,Florida,2017-1-6-0-0,96419210,-89,-8,3.9,3.3,5.53,2,316597,5.15,1.98,6.3,180207,27431,46123,722
Baker County,Florida,2017-1-6-0-0,65041990,-119,-16,5.31,3.48,6.01,6.5,421411,2.45,1.72,6.92,675195,33426,43519,4233
Bay County,Florida,2017-1-6-0-0,64576511,-72,-11,1.89,2.35,11.64,16.6,649320,0.23,4,2.51,993271,35180,29285,2711
Bradford County,Florida,2017-1-6-0-0,75396306,-62,-10,4.6,4.92,5.28,5.6,499683,3.98,3.53,3.34,507955,15256,19727,125
Brevard County,Florida,2017-1-6-0-0,50569761,-105,-8,4.12,4.84,4.58,5,816577,3.94,0.96,11.45,420463,17321,32046,3185
Broward County,Florida,2017-1-6-0-0,34722451,-81,-11,2.45,5.11,11.91,4.9,180126,2.18,2.85,11.36,690420,32477,38304,1459
Calhoun County,Florida,2017-1-6-0-0,12550631,-71,-16,4.09,1.32,6.2,19.9,654241,1.28,0.65,0.31,416120,31734,41490,2432
Charlotte County,Florida,2017-1-6-0-0,21140120,-69,-12,5.47,0.2,0.2,5.5,300921,3.38,1.37,2.23,731102,31616,21932,1549
Citrus County,Florida,2017-1-6-0-0,22240856,-117,-11,3.12,4.63,2.5,6.4,116546,2.29,3.19,9.82,947736,49193,6666,1972
Clay County,Florida,2017-1-6-0-0,72129897,-84,-7,2.41,3.39,1.86,1.8,989677,0.62,0.11,3.08,228051,41149,34297,4888
Collier County,Florida,2017-1-6-0-0,98635952,-99,-9,4.85,2.69,9.82,5.4,695748,4.23,1.12,1.98,359801,19677,35489,3347
Columbia County,Florida,2017-1-6-0-0,58295025,-120,-11,1.68,0.98,4.54,18.9,466409,4.01,2.6,7.1,225748,14651,25594,1190
DeSoto County,Florida,2017-1-6-0-0,50910891,-102,-14,0.61,3.2,2.27,3.9,912053,4.59,4.51,3.8,524599,16980,30204,1091
Dixie County,Florida,2017-1-6-0-0,43628564,-93,-11,0.98,4.8,4.16,0.7,628414,3.19,1.72,2.46,768923,23489,14824,107
Duval County,Florida,2017-1-6-0-0,72229719,-74,-13,1.9,4.94,11.4,17.9,328947,0.88,0.24,5.42,453935,46435,19484,35
Escambia County,Florida,2017-1-6-0-0,8363597,-114,-13,4.5,3.34,3.43,18.1,282027,3.15,2.55,7.71,213839,44377,6545,1398
Flagler County,Florida,2017-1-6-0-0,33540401,-94,-15,3.25,4.48,9.92,15,320818,0.55,1.8,4.89,415504,31323,26616,297
Franklin County,Florida,2017-1-6-0-0,97479341,-78,-8,0.67,3.24,10.75,14.2,964600,2.98,4.77,7.18,124078,11974,18107,4724
Gadsden County,Florida,2017-1-6-0-0,5828752,-91,-12,2.56,1.03,5.63,2.5,656750,2.82,4.73,4.25,289670,10691,45794,4007
Gilchrist County,Florida,2017-1-6-0-0,26862102,-92,-16,2.33,1.7,4.97,12.4,130620,2.82,2.13,3.7,528937,47273,35313,2961
Glades County,Florida,2017-1-6-0-0,36878229,-93,-11,3.88,4.29,8.48,5,578229,2.92,0.46,9.92,783640,2634,48687,4040
Gulf County,Florida,2017-1-6-0-0,68503386,-87,-16,4.95,3.04,11.33,19.5,278024,3.74,4.64,9.92,115127,30988,23349,2699
Hamilton County,Florida,2017-1-6-0-0,95568490,-63,-10,5.14,2.65,5.15,6.9,614664,5.06,1.16,0.64,798065,4261,45021,1192
Hardee County,Florida,2017-1-6-0-0,40895658,-104,-14,4.68,3.7,11.07,4.6,890852,3.02,0.54,9.89,384971,17074,16673,3232
Hendry County,Florida,2017-1-6-0-0,64766770,-87,-12,3.99,0.72,9.2,1.5,346173,2.75,3.51,6.15,985152,28504,22822,3176
Hernando County,Florida,2017-1-6-0-0,9953283,-65,-15,3.56,1.68,10.35,2.3,719006,3.87,2.23,6.43,736886,14331,42105,2924
Highlands County,Florida,2017-1-6-0-0,84101617,-101,-7,2.97,1.23,9.01,19.8,791322,0.78,1.77,3.24,148850,13169,34598,3175
Hillsborough County,Florida,2017-1-6-0-0,14264050,-109,-8,1,4.9,5.86,19.1,566305,3.97,1.12,3.65,554258,36722,38677,4428
Holmes County,Florida,2017-1-6-0-0,24083158,-72,-11,4.38,3.46,7.57,15.2,797452,1.11,0.39,2.63,785370,32460,30091,1282
