2015-1,Operator,MCC/MNC,TIME,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
France,Orange (Iteneris),208/01,26-Dec,-89.34,-6.12,0.19,0.77,0.1,0.14,0.46,0.12,0.93,0.92,959074,2163,96840,6107
France,Free Mobile,208/15,26-Dec,-82.42,-13.43,0.57,0.04,0.51,0.18,0.24,0.3,0.65,0.23,753203,6421,63271,9039
France,Bouygues,208/20,26-Dec,-93.01,-9.99,0.73,0.44,0.86,0.46,0.61,0.18,0.02,0.68,236047,9138,45162,6530
Germany,Telekom Deutschland (T-Mobile),262/01,26-Dec,-150.76,-12.92,0.89,0.24,0.89,0.68,0.03,0.94,0.66,0.17,529233,4581,78790,6160
Germany,Vodafone(GERMANY),262/02,26-Dec,-85.84,-9.57,0.32,0.81,0.89,0.19,0.79,0.95,0.79,0.69,637031,8817,39226,9803
Germany,Telefonica O2/viag,262/07,26-Dec,-90.34,-8.69,0.1,0.25,0.06,0.25,0.86,0.42,0.25,0.95,990738,1874,19867,7965
Germany,E-Plus,262/03,26-Dec,-60.14,-8.25,0.41,0.95,0.01,0.29,0.17,0.06,0.72,0.11,876587,6377,74676,9799
Hongkong,China Mobile - Peoples,454/12,26-Dec,-64.77,-13.21,0.99,0.1,0.74,0.02,0.56,0.66,0.53,0.25,716093,8979,53905,9143
Hongkong,H3G(HONG KONG),454/03,26-Dec,-113.31,-8.54,0.23,0.5,0.6,0.3,0.4,0.17,0.89,0.46,675412,9547,44476,4278
Hongkong,PCCW-HKT Telephone Limited,454/19,26-Dec,-86.43,-8.26,0.06,0.96,0.73,0.69,0.56,0.28,0.98,0.83,975454,3867,65458,9201
Hongkong,SmarTone - Vodafone,454/06,26-Dec,-72.27,-10.58,0.41,0.91,0.61,0.94,0.56,0.22,0.4,0.77,579339,5654,85127,1872
Hongkong,CSL (C&W),454/00,26-Dec,-94.4,-8.84,0.36,0.81,0.52,0.53,0.08,0.76,0.33,0.03,406558,4242,44090,1228
Hungary,Vodafone(HUNGARY),216/70,26-Dec,-141.44,-8.93,0.6,0.68,0.02,0.28,0.64,0.97,0.71,0.41,180737,4275,49347,6268
Hungary,T-Mobile(HUNGARY),216/30,26-Dec,-112.58,-9.55,0.54,0.67,0.41,0.87,0.9,0.19,0.41,0.18,242759,8458,84482,1489
India,Airtel (Karnataka),404/45,26-Dec,-76.15,-9.95,0.27,0.39,0.16,0.56,0.36,0.55,0.88,0.26,669606,2017,31717,4870
India,Airtel (Delhi),404/10,26-Dec,-90.05,-12.82,0.06,0.53,0.13,0.54,0.99,0.96,0.72,0.11,323696,1647,20018,5581
Indonesia,Indosat (IDNSL),510/01,26-Dec,-102.86,-10.61,0.71,0.7,0.92,0.58,1,0.58,0.58,0.95,958893,4494,26998,8544
Ireland,Vodafone(IRELAND),272/01,26-Dec,-133.82,-13.19,0.16,0.34,0.29,0.11,0.96,0.16,0.65,0.71,653880,7088,10767,9752
Ireland,Meteor,272/03,26-Dec,-156.37,-14.63,0.96,0.06,0.76,0.83,0.81,0.69,0.01,0.16,649784,6922,92955,7296
Ireland,Telefonica O2 (East DigiFone),272/02,26-Dec,-73.99,-8.09,0.7,0.45,0.51,0.07,0.62,0.02,0.04,0.5,964484,1119,44793,7936
Italy,Vodafone Omnitel,222/10,26-Dec,-130.7,-12.37,0.71,0.22,0.13,0.04,0.7,0.39,0.37,0.42,886591,6520,35769,3194
Italy,Wind,222/88,26-Dec,-72.15,-14.63,0.13,0.2,0.26,0.97,0.19,0.13,0.39,0.86,787936,5768,90474,4124
Japan,KDDI Corporation,440/51,26-Dec,-150.45,-14.2,0.71,0.35,0.3,0.67,0.67,0.18,0.2,0.04,605350,4901,34648,6441
Japan,Soft Bank (Vodafone KK),440/20,26-Dec,-63.14,-13.23,0.7,0.31,0.01,0.74,0.32,0.42,0.07,0.4,241687,8133,57004,2197
Japan,KDDI,440/50,26-Dec,-60.04,-10.2,0.11,0.53,0.4,0.07,0.18,0.05,0.75,0.78,407141,8997,64393,4638
Japan,NTT Docomo,440/10,26-Dec,-120.99,-14.09,0.34,1,0.93,0.72,0.51,0.45,0.97,0.84,734767,1184,18985,7959
Jordan,Zain (Fastlink),416/01,26-Dec,-149.36,-8.92,0.17,0.19,0.43,0.21,0.28,0.76,0.01,0.09,689557,7611,73608,3715
Jordan,Orange (MobileCom),416/77,26-Dec,-142.06,-10.15,0.64,0.71,0.79,0.69,0.59,0.41,0.36,0.18,710578,1991,64956,5168
Kazakhstan ,K-Cell,401/02,26-Dec,-130.15,-10.99,0.34,0.34,0.4,0.67,0.21,0.5,0.33,0.81,838302,3379,93828,1607
Kuwait,MTC/Zain,419/02,26-Dec,-111.79,-6.72,0.91,0.82,0.95,0.71,0.96,0.88,0.7,0.71,991106,1278,55951,5963
Kuwait,Viva (KTC),419/04,26-Dec,-125.24,-10.02,0.59,0.9,0.45,0.62,0.72,0.98,0.81,0.74,621099,9976,46285,2050
Lebanon,MTC (MIC 2 Touch),415/03,26-Dec,-141.1,-11.97,0.93,0.55,0.94,0.46,0.73,0.64,0.5,0.75,727735,4601,19271,7820
Luxembourg,Tango,270/77,26-Dec,-150.47,-7.2,0.04,0.21,0.93,0.87,0.23,0.78,0.57,1,229690,6168,65620,6158
Macao,CTM,455/01,26-Dec,-149.08,-7.24,0.12,0.75,0.07,0.6,0.18,0.86,0.94,0.69,688343,9135,61416,9602
Macao,Hutchison 3,455/03,26-Dec,-81.38,-7.24,0.67,0.17,0.94,0.65,0.43,0.08,0.07,0.77,943110,5598,72845,7313
Malaysia,Celcom,502/19,26-Dec,-114.71,-14.33,0.11,0.33,0.86,0.99,0.87,0.59,0.83,0.23,782283,1887,43780,4899
Malaysia,DiGi  Telecommunication,502/16,26-Dec,-74.96,-13.91,0.91,0.18,0.94,0.91,0.75,0.16,0.64,0.05,797595,6870,10622,3741
Malaysia,Maxis,502/12,26-Dec,-97.99,-7.25,0.41,0.78,0.81,0.71,0.59,0.28,0.45,0.46,838620,9426,59386,7195
Malta,Vodafone(MALTA),278/01,26-Dec,-62.15,-9.7,0.28,0.28,0.62,0.67,0.19,0.28,0.64,0.16,930624,2423,88284,2529
Mauritius,Cellplus Orange,617/01,26-Dec,-92.31,-11.23,0.09,0.18,0.62,0.1,0.9,0.72,0.07,0.45,602297,1996,44006,8923
Netherlands,Vodafone(NETHERLANDS),204/04,26-Dec,-123.11,-12.63,0.27,0.98,0.2,0.98,0.36,0.25,0.24,0.54,899686,3505,63069,3955
Netherlands,T-mobile (ex Ben),204/16,26-Dec,-117.1,-10.2,0.72,0.01,0.43,0.57,0.26,0.06,0.98,0.67,356840,4051,11089,5207
New Zealand,Vodafone(NEW ZEALAND),530/01,26-Dec,-126.8,-14.78,0.36,0.18,0.58,0.02,0.07,0.57,0.66,0.7,721834,4374,72952,7175
Nigeria,EMTS,621/60,26-Dec,-130.14,-13.47,0.96,0.37,0.77,0.77,0.56,0.37,0.91,0.51,769898,4673,12509,2479
Norway,Telenor Mobile,242/01,26-Dec,-78.68,-14.53,0.32,0.57,0.23,0.82,0.55,0.77,0.64,0.17,163642,7315,63187,2644
Norway,NetCom TeliaSonera,242/02,26-Dec,-72.84,-6.8,0.21,0.58,0.34,0.78,0.91,0.38,0.18,0.12,732028,9607,65849,6100
Oman,Nawras,422/03,26-Dec,-66.89,-10.21,0.8,0.84,0.71,0.63,0.34,0.36,0.57,0.73,212234,7310,12266,1934
Oman,Oman Mobile - GTO (Omantel),422/02,26-Dec,-65.19,-7.36,0.88,0.77,0.07,0.31,0.2,0.82,0.14,0.18,854828,5624,86066,6760
Philippines,Smart,515/03,26-Dec,-69.22,-8.67,0.57,0.82,0.9,0.28,0.56,0.45,0.02,0.36,166760,4177,73112,6574
Poland,"T-Mobile (ERA,PTC)",260/02,26-Dec,-79.78,-14.99,0.95,0.56,0.2,0.45,0.24,0.63,0.56,0.89,752777,2065,72355,2630
Poland,Orange/Centertel,260/03,26-Dec,-93.19,-7.21,0.77,0.3,0.49,0.98,0.55,1,0.66,0.4,483713,4731,51906,5287
Portugal,Vodafone(PORTUGAL),268/01,26-Dec,-154.23,-14.25,0.34,0.12,0.01,0.99,0.68,0.65,0.99,0.68,715049,8648,52586,1131
Portugal,Optimus (Sonecom),268/03,26-Dec,-110.83,-12.6,0.03,0.09,0.64,0.61,0.76,0.25,0.37,0.64,639002,2880,37349,9708
Qatar,Vodafone(QATAR),427/02,26-Dec,-100.3,-10.11,0.77,0.21,0.06,0.86,0.53,0.67,0.03,0.92,869659,4934,27827,6432
Qatar,Q-Tel,427/01,26-Dec,-72.17,-9.01,0.19,0.45,0.01,0.96,0.48,0.23,0.39,0.76,448446,3219,36100,1965
Romania,Orange (Mobilrom),226/10,26-Dec,-100.62,-7.76,0.61,0.67,0.62,0.81,0.78,0.18,0.21,0.72,518548,7797,30425,2611
Russia,MTS(RUSSIA),250/01,26-Dec,-111.51,-7.16,0.25,0.22,0.83,0.43,0.35,0.43,0.81,0.26,114361,3831,67445,5668
Russia,MegaFon,250/02,26-Dec,-116.23,-14.38,0.06,0.14,0.58,0.39,0.99,0.39,0.41,0.69,144205,5086,24994,7355
Russia,Vimpelcom Beeline (KB Impuls),250/99,26-Dec,-157.25,-8.27,0.07,0.03,0.16,0.42,0.54,0.57,0.01,0.95,201390,2401,92400,2869
Saudi Arabia,Saudi Telecom Company,420/01,26-Dec,-148.9,-6.38,0.11,0.62,0.99,0.14,0.55,0.23,0.72,0.23,326817,6174,73415,5393
Saudi Arabia,Mobily,420/03,26-Dec,-146,-11.7,0.83,0.89,0.97,0.32,0.51,0.36,0.76,0.4,424170,2615,85694,1760
SERBIA,Telenor Serbia,220/01,26-Dec,-65.17,-10.31,0.29,0.57,0.57,0.64,0.35,0.97,0.9,0.2,446075,8937,21289,8556
Singapore,Mobile One,525/03,26-Dec,-145.52,-10.64,0.01,0.19,0.28,0.83,0.37,0.66,0.25,0.49,608376,8468,68339,7678
Singapore,Starhub,525/05,26-Dec,-89.43,-9.3,0.28,0.86,0.35,0.14,0.4,0.52,0.33,0.27,701019,5422,52729,2168
Singapore,SingTel,525/01,26-Dec,-109.08,-9.75,0.7,0.7,0.68,0.53,0.55,0.93,0.47,0.99,886820,3298,60535,7164
Slovak Republic,Orange (ex Globtel),231/01,26-Dec,-94.18,-11.7,0.19,0.51,0.5,0.94,0.65,0.21,0.59,0.81,338861,7401,47100,2631
Slovenia,SI Mobil,293/40,26-Dec,-64.32,-13.46,0.88,0.93,0.8,0.91,0.11,0.62,0.95,0.65,311542,9128,69170,2525
South Africa,Vodacom(SOUTH AFRICA),655/01,26-Dec,-150.93,-7.52,0.16,0.38,0.27,0.51,0.77,0.28,0.94,0.23,942379,7529,96474,2709
South Africa,MTN(SOUTH AFRICA),655/10,26-Dec,-105.58,-11.35,0.02,0.93,0.42,0.02,0.11,0.1,0.78,0.24,478037,8237,23282,2759
South Korea,KT (KTF),450/08,26-Dec,-147.97,-8.85,0.83,0.64,0.42,0.04,0.33,0.97,0.93,0.55,854688,3850,58216,5875
South Korea,SK Telecom,450/05,26-Dec,-80.33,-7.66,0.59,0.78,0.95,0.56,0.37,0.44,0.67,0.33,742063,6856,57083,5755
Spain,Orange/Amena,214/03,26-Dec,-63.15,-13.51,0.7,0.78,0.84,0.96,0.75,0.47,0.96,0.01,164943,5387,59331,6809
Spain,Vodafone (AirTel),214/01,26-Dec,-111.21,-14.03,0.94,0.68,0.29,0.6,0.78,0.16,0.01,0.46,490543,7450,19479,6546
Spain,Xfera Yoigo,214/04,26-Dec,-137.91,-8.58,0.11,0.73,0.59,0.37,0.21,0.64,0.45,0.57,271790,4111,29038,6239
Spain,Telefonica Moviles(SPAIN),214/07,26-Dec,-106.23,-13.11,0.79,0.4,0.31,0.95,0.37,0.75,0.09,0.39,551423,1695,74426,5022
Sweden,Tele2 - Comviq,240/07,26-Dec,-93.45,-13.55,0.56,0.65,0.08,0.71,0.04,0.29,1,0.7,511699,7509,33527,1661
Sweden,"Telenor (Vodafone,Europolitn)",240/08,26-Dec,-133.73,-6.19,0.03,0.52,0.67,1,0.56,0.63,0.11,0.78,985790,9773,66565,1878
Sweden,TeliaSonera Mobile,240/01,26-Dec,-115.04,-9.28,0.4,0.83,0.81,1,0.38,0.24,0.59,0.22,447381,5137,72879,5936
Switzerland,Swisscom,228/01,26-Dec,-133.93,-8.11,0.88,0.63,0.81,0.28,0.72,0.11,0.97,0.63,730232,2693,38252,1947
Switzerland,Sunrise DiAx,228/02,26-Dec,-140.43,-9.53,0.61,0.14,0.27,0.82,0.51,0.07,0.24,0.11,674470,6006,60939,4547
Switzerland,Orange(SWITZERLAND),228/03,26-Dec,-63.39,-9.5,0.79,0.4,0.99,0.02,0.04,0.22,0.99,0.3,263002,8664,69815,6996
Thailand,True Move  HSPA,520/00,26-Dec,-140.02,-12.81,0.29,0.75,0.09,0.22,0.91,0.96,0.07,0.75,264748,9142,48841,8452
Thailand, AIS,520/03,26-Dec,-117.54,-8.51,0.89,0.78,0.79,0.38,0.08,0.08,0.53,0.09,151981,2622,35288,8612
Turkey,Vodafone (TelSim),286/02,26-Dec,-139.22,-14.09,0.94,0.35,0.15,0.56,0.82,0.43,0.13,0.98,813620,8633,47729,8729
Turkey,Turkcel,286/01,26-Dec,-155.9,-8.86,0.64,0.07,0.88,0.01,0.07,0.61,0.91,0.5,521589,6936,46016,6185
United Arab Emirates,Etisalat(UAE),424/02,26-Dec,-115.01,-11.68,0.98,0.71,0.84,0.43,0.25,0.41,0.4,0.97,345756,6186,41590,1785
United Arab Emirates,Du,424/03,26-Dec,-63.32,-14.8,0.13,0.83,0.41,0.64,0.4,0.6,0.36,0.17,615281,7880,78712,1919
United Kingdom,Vodafone(UK),234/15,26-Dec,-157.48,-13.31,0.1,0.4,0.17,0.03,0.71,0.54,0.3,0.09,934831,9716,30225,2925
United Kingdom,Everything Everywhere,234/30,26-Dec,-146.03,-14.17,0.5,0.86,0.84,0.59,0.47,0.55,0.32,0.58,841550,9930,28700,3164
United Kingdom,Telefonica O2 (CellNet),234/10,26-Dec,-139.13,-9.89,0.47,0.77,0.96,0.73,0.29,0.1,0.8,0.91,900488,9994,33614,5498
United Kingdom,Everything Everywhere (ex-Orange),234/33,26-Dec,-102.92,-12.2,0.53,0.19,0.54,0.69,0.43,0.37,0.37,0.12,308367,7823,15322,3264
Unted States,AT&T,310/410,26-Dec,-73.33,-14.28,0.73,0.15,0.69,0.68,0.27,0.82,0.83,0.92,985289,9296,52211,6873
Unted States,Guamcell Cellular and Paging,310/370,26-Dec,-152.32,-6.71,0.55,0.77,0.92,0.15,0.98,0.8,0.04,0.77,370675,9488,66693,8957
Unted States,T-Mobile,310/260,26-Dec,-64.95,-10.86,0.05,0.91,0.67,0.59,0.88,0.83,0.21,0.82,870924,8380,84994,2945
Unted States,Verizon Wireless,311/48,26-Dec,-92.01,-14.33,0.5,0.2,0.84,0.33,0.33,0.07,0.05,0.54,453320,1149,53213,6787
Albania,Vodafone(ALBANIA),276/02,27-Dec,-73.02,-9.7,0.25,0.94,0.64,0.51,0.74,0.9,0.85,0.24,312769,9555,99585,9249
Australia,Vodafone Hutchison,505/03,27-Dec,-147.22,-8.49,0.21,0.99,0.14,0.1,0.06,0.97,0.99,0.19,297354,7655,40808,6885
Australia,Optus,505/02,27-Dec,-90.84,-11.4,0.04,0.87,0.9,0.22,0.13,0.67,0.32,0.77,798929,2086,85889,5758
Australia,Telstra,505/01,27-Dec,-86.54,-7.63,0.78,0.26,0.14,0.68,0.08,0.84,0.81,0.93,481850,6100,61080,7572
Austria,A1 Austria Telekom (Mobilkom),232/01,27-Dec,-69.87,-13.43,0.39,0.51,0.22,0.56,0.48,0.56,0.5,0.69,654066,9734,58767,4838
Austria,H3G(AUSTRIA),232/10,27-Dec,-156.66,-13.06,0.44,0.95,0.24,0.76,0.63,0.27,0.75,0.33,482631,5635,75341,4134
Bahrain,Viva,426/04,27-Dec,-158.55,-9.94,0.43,0.84,0.67,0.03,0.73,0.4,0.72,0.97,882172,5978,17972,2770
Bahrain,Batelco,426/01,27-Dec,-106.06,-14.19,0.52,0.13,0.12,0.3,0.21,0.57,0.22,1,675097,6488,21506,8086
Bahrain,Zain/Vodafone/MTC,426/02,27-Dec,-124.11,-7.12,0.64,0.2,0.43,0.84,0.45,0.45,0.13,0.81,330667,9188,49191,1201
Belgium,"Base (KPN,Orange)",206/20,27-Dec,-74.49,-8.25,0.53,0.39,0.39,0.49,0.41,0.15,0.11,0.83,454331,7097,36297,4664
Belgium,Mobistar S.A.,206/10,27-Dec,-99.75,-9.13,0.17,0.85,0.6,0.09,0.25,0.62,0.52,0.94,288644,3973,84043,9248
Belgium,Belgacom Mobile,206/01,27-Dec,-95.54,-13.06,0.94,0.77,0.22,0.75,0.6,0.58,0.57,0.02,851215,5924,58680,7404
Brazil,Vivo S.A,724/10,27-Dec,-113.6,-6.82,1,0.39,0.58,0.13,0.11,0.19,0.46,0.9,493471,5574,11961,8623
Brazil,TIM,724/04,27-Dec,-115.33,-8.96,0.65,0.87,0.81,0.39,0.64,0.62,0.8,0.54,175909,5829,98647,3280
Bulgaria,Mobiltel,284/01,27-Dec,-134.27,-6.37,0.92,0.82,0.1,0.65,0.97,0.13,0.1,0.96,435610,2507,82349,9056
Canada,Bell Mobility,302/610,27-Dec,-107.04,-6.9,0.81,0.7,0.35,1,0.04,0.1,0.1,0.11,468906,2680,41674,6881
Canada,Telus Mobility,302/220,27-Dec,-116.8,-10.41,0.42,0.88,0.65,0.51,0.3,0.98,0.61,0.4,138997,4135,17375,6465
China,China Mobile,460/07,27-Dec,-79.6,-12.73,0.52,0.64,0.02,0.58,0.19,0.86,0.32,0.67,734208,5697,40255,9918
China,China Unicom,460/01,27-Dec,-156.07,-7.2,0.3,0.37,0.53,0.81,0.35,0.23,0.64,0.38,977584,3127,82614,5582
China,China Mobile,460/02,27-Dec,-136.98,-11.79,0.07,0.35,0.88,0.83,0.45,0.79,0.11,0.17,348334,2561,89998,9747
China,China Mobile,460/00,27-Dec,-136.13,-13.81,0.08,0.55,0.44,0.02,0.03,1,0.76,0.26,793145,7652,99817,7081
Croatia,Croatian Telecom (ex T- Mobile),219/01,27-Dec,-92.74,-8.41,0.16,0.44,0.1,0.77,0.92,0.16,0.51,0.14,936019,4532,39249,1860
Croatia,VIP-net,219/10,27-Dec,-128.01,-8.96,0.34,0.12,0.33,0.9,0.68,0.96,0.8,0.71,118100,5035,51448,7457
Czech Republic,Telefonica O2 (Eurotel),230/02,27-Dec,-72.94,-8.26,0.07,0.23,0.7,0.49,0.41,0.46,0.79,0.86,764191,2879,26819,4311
Denmark,Telenor (Sonofon),238/02,27-Dec,-63.23,-11.57,0.92,0.31,0.14,0.77,0.51,0.29,0.21,0.74,631463,6020,31571,4654
Dominica Rep.,"Orange Dominicana, S.A.",370/01,27-Dec,-108.08,-11.81,0.9,0.92,0.62,0.31,0.58,0.24,0.4,0.94,360282,4365,76248,3704
Egypt,Vodafone(EGYPT),602/02,27-Dec,-151.12,-11.48,0.21,0.28,0.4,0.7,0.09,0.42,0.55,0.3,320004,2143,62086,7157
Egypt,Etisalat Misr,602/03,27-Dec,-73,-10.29,0.29,0.59,0.17,0.59,1,0.54,0.7,0.26,225501,9394,38760,2291
Estonia,Tele2(ESTONIA),248/03,27-Dec,-140.17,-12.26,0.69,0.03,0.66,0.18,0.29,0.03,0.17,0.26,177198,1672,64521,4570
France,SFR (Cegetel),208/10,27-Dec,-156.89,-9.1,0.99,0.43,0.96,0.21,0.25,0.62,0.4,0.05,442366,6217,76231,1298
France,Orange (Iteneris),208/01,27-Dec,-69.07,-12.22,0.82,0.54,0.08,0.67,0.2,1,0.91,0.78,618036,7537,49250,1560
France,Free Mobile,208/15,27-Dec,-125.77,-11.7,0.71,0.33,0.1,0.97,0.78,0.19,0.25,0.06,100403,6183,11440,9583
France,Bouygues,208/20,27-Dec,-138.28,-9.92,0.3,0.52,0.01,0.74,0.94,0.06,0.56,0.81,488989,5627,39314,7457
Germany,Telekom Deutschland (T-Mobile),262/01,27-Dec,-115.2,-11.13,0.19,0.25,0.13,0.82,0.5,0.59,0.48,0.43,754547,1381,15486,8617
Germany,Vodafone(GERMANY),262/02,27-Dec,-105.69,-7.24,0.63,0.13,0.84,0.15,0.23,0.55,0.24,0.92,363074,8513,66006,6328
Germany,Telefonica O2/viag,262/07,27-Dec,-134.82,-7.71,0.3,0.58,0.18,0.29,0.33,0.19,0.08,0.27,264222,7033,19258,5531
Germany,E-Plus,262/03,27-Dec,-72.67,-11.78,0.38,0.01,0.64,0.98,0.31,0.55,0.37,0.99,390667,7877,49958,4440
Hongkong,China Mobile - Peoples,454/12,27-Dec,-103.42,-6.34,1,0.99,0.94,0.62,0.1,0.29,0.95,0.87,670372,9574,95852,5981
Hongkong,H3G(HONG KONG),454/03,27-Dec,-146.22,-14.2,0.48,0.61,0.87,0.56,1,0.14,0.24,0.68,128133,8946,13708,3314
Hongkong,PCCW-HKT Telephone Limited,454/19,27-Dec,-151.2,-8.52,1,0.66,0.34,0.78,0.13,0.29,0.25,0.43,166962,7226,66490,7772
Hongkong,SmarTone - Vodafone,454/06,27-Dec,-66.84,-7.59,0.73,0.57,0.98,0.57,0.53,0.95,0.37,0.66,125119,2465,26128,9441
Hongkong,CSL (C&W),454/00,27-Dec,-147.09,-7.1,0.84,0.23,0.27,0.32,0.61,0.24,0.97,0.04,271226,5632,50671,6154
Hungary,Vodafone(HUNGARY),216/70,27-Dec,-114.15,-8.33,0.92,0.12,0.9,0.97,0.7,0.59,1,0.71,996542,1538,90259,8494
Hungary,T-Mobile(HUNGARY),216/30,27-Dec,-142.58,-8.88,0.37,0.8,0.02,0.4,0.69,0.5,0.58,0.46,979629,5051,27538,7789
India,Airtel (Karnataka),404/45,27-Dec,-80.14,-8.96,0.47,0.22,0.06,0.74,0.27,0.85,0.16,0.38,249243,2454,71746,3797
India,Airtel (Delhi),404/10,27-Dec,-86.16,-11.66,0.19,0.45,0.86,0.32,0.95,0.59,0.22,0.38,884762,5177,29844,6888
Indonesia,Indosat (IDNSL),510/01,27-Dec,-127.78,-13.31,0.49,0.26,0.13,0.9,0.42,0.87,0.18,0.57,243870,7814,46206,7154
Ireland,Vodafone(IRELAND),272/01,27-Dec,-116.35,-11.14,0.48,0.01,0.56,0.95,0.8,0.73,0.31,0.01,268827,5075,20119,8618
Ireland,Meteor,272/03,27-Dec,-145.88,-10.63,0.74,0.61,0.35,0.12,0.76,0.97,0.03,0.56,308980,8997,74918,6872
Ireland,Telefonica O2 (East DigiFone),272/02,27-Dec,-147.82,-14.71,0.27,0.9,0.73,0.3,0.66,0.83,0.47,0.57,585087,2680,46528,3631
Italy,Vodafone Omnitel,222/10,27-Dec,-111.45,-13.87,0.38,0.13,0.03,0.29,0.29,0.7,0.19,0.56,309412,7072,21550,2169
Italy,Wind,222/88,27-Dec,-144.13,-11.35,0.4,0.92,0.19,0.35,0.64,0.67,0.77,0.73,823745,9768,90191,5323
Japan,KDDI Corporation,440/51,27-Dec,-63.64,-11.29,0.5,0.61,0.61,0.83,0.7,0.33,0.68,0.45,965788,6756,27478,5631
Japan,Soft Bank (Vodafone KK),440/20,27-Dec,-122.88,-10.5,0.4,0.07,0.74,0.74,0.74,0.86,0.87,0.16,987936,3959,55108,8962
Japan,KDDI,440/50,27-Dec,-78.2,-12.97,0.92,0.45,0.92,0.77,0.24,0.94,0.94,0.99,944772,8889,77821,1505
Japan,NTT Docomo,440/10,27-Dec,-158.52,-11.75,0.15,0.66,0.43,0.52,0.06,0.01,0.07,0.1,169586,2206,60495,8700
Jordan,Zain (Fastlink),416/01,27-Dec,-114.07,-6.62,0.2,0.37,0.1,0.09,0.78,0.43,0.77,0.99,619161,2760,84960,3918
Jordan,Orange (MobileCom),416/77,27-Dec,-149.22,-11.23,0.67,0.24,1,0.63,0.94,0.3,0.75,0.63,930056,2365,64252,2227
Kazakhstan ,K-Cell,401/02,27-Dec,-113.64,-9.18,0.48,1,0.92,0.07,0.29,0.77,0.79,0.62,986310,7818,40666,9221
Kuwait,MTC/Zain,419/02,27-Dec,-65.33,-11.8,0.75,0.69,0.9,0.78,0.04,0.43,0.77,0.2,628365,9111,79211,5594
Kuwait,Viva (KTC),419/04,27-Dec,-85.07,-7.41,0.62,0.74,0.37,0.04,0.85,0.25,0.81,0.78,391637,7462,38325,6032
Lebanon,MTC (MIC 2 Touch),415/03,27-Dec,-84.39,-13.75,0.71,0.1,0.16,0.09,0.5,0.98,0.93,0.94,411015,8723,24277,6885
Luxembourg,Tango,270/77,27-Dec,-83.16,-13.07,0.88,0.78,0.32,0.77,0.65,0.55,0.55,0.94,946653,8532,44010,8719
Macao,CTM,455/01,27-Dec,-102.4,-10.8,0.29,0.24,0.89,0.44,0.29,1,0.6,0.31,944123,3588,54281,4799
Macao,Hutchison 3,455/03,27-Dec,-61.78,-9.86,0.78,0.35,0.3,0.06,0.1,0.59,0.91,0.37,721716,5209,52941,6229
Malaysia,Celcom,502/19,27-Dec,-140.11,-8.28,0.72,0.76,0.37,0.63,0.49,0.46,0.92,0.99,761377,9072,68212,9549
Malaysia,DiGi  Telecommunication,502/16,27-Dec,-63.84,-9.41,0.07,0.58,0.46,0.08,0.34,0.83,0.81,0.54,200420,1542,85520,7833
Malaysia,Maxis,502/12,27-Dec,-128.12,-6.43,0.75,0.31,0.26,0.52,0.13,0.45,0.9,0.08,970527,9535,19477,8937
Malta,Vodafone(MALTA),278/01,27-Dec,-87.5,-7.18,0.09,0.1,0.73,0.78,0.05,0.09,0.37,0.87,535048,3446,80577,9299
Mauritius,Cellplus Orange,617/01,27-Dec,-145.85,-6.74,0.53,0.4,0.68,0.65,0.28,0.93,0.71,0.28,157712,8593,56865,8821
Netherlands,Vodafone(NETHERLANDS),204/04,27-Dec,-66.32,-9.5,0.7,0.73,0.56,0.2,0.44,0.7,0.13,0.41,262327,4849,50085,7991
Netherlands,T-mobile (ex Ben),204/16,27-Dec,-66.48,-10.61,0.63,0.53,1,0.09,0.37,0.92,0.33,0.73,668418,6342,10476,5936
New Zealand,Vodafone(NEW ZEALAND),530/01,27-Dec,-120.53,-13.66,0.16,0.99,0.2,0.15,0.48,0.41,1,0.17,970551,4541,15618,7466
Nigeria,EMTS,621/60,27-Dec,-93.14,-10.63,0.51,0.69,0.74,0.69,0.78,0.87,0.1,0.39,646029,2583,39803,4978
Norway,Telenor Mobile,242/01,27-Dec,-64.23,-11.3,0.19,0.27,0.87,0.19,0.17,0.79,0.18,0.26,263149,6252,88510,1332
Norway,NetCom TeliaSonera,242/02,27-Dec,-85.19,-10.92,0.52,0.34,0.76,0.86,0.28,0.39,0.09,0.53,311551,1125,85754,2915
Oman,Nawras,422/03,27-Dec,-126.97,-10.24,0.19,0.77,0.43,0.98,0.09,0.72,0.69,0.57,790006,5989,57020,4752
Oman,Oman Mobile - GTO (Omantel),422/02,27-Dec,-154.81,-13.89,0.65,0.94,0.64,0.71,0.8,0.62,0.8,0.93,912524,7718,50533,8087
Philippines,Smart,515/03,27-Dec,-157.26,-13.19,0.04,0.58,0.62,0.01,0.86,0.91,0.39,0.97,656707,6135,28079,7966
Poland,"T-Mobile (ERA,PTC)",260/02,27-Dec,-146.48,-9.68,0.38,0.01,0.01,0.55,0.91,0.67,0.42,0.19,885349,6373,96790,2688
