Region,Time,Subscriber_Prepaid,Subscriber_Postpaid,Subscriber_Combo1,Subscriber_Combo2,Subscriber_Combo3,Subscriber_Combo4,Subscriber_Combo5,Subscriber_Combo6,Subscriber_Combo12,VoLTE Holding Time_VoLTE holding Time,Data_Downlink traffic,Data_Uplink traffic,Coverage_Avg RSRP,Coverage_SINR,Quality_Avg RSRQ,VoLTE_Call setup success rate,VoLTE_Call completion success rate,VoLTE_Call setup time ,VoLTE_Drop call rate,VoLTE_IMS registration latency ,VoLTE_IMS registration success rate,VoLTE_HO interruption time,VoLTE_MOS,VoLTE_Speech path delay,Data_Call setup success rate,Data_Call completion success rate,Data_Call setup time ,Data_Drop call rate,Data_HO interruption time ,Data_Low throughput samples rate,Data_Retransmission rate,Streaming_Startup time,Streaming_MOS,Streaming_Freeze rate ,Streaming_Number of video stall,Streaming_Dropped frame rate,Streaming_Reproduction start failure rate,Streaming_Reproduction start delay,Streaming_Buffering time,Streaming_number of re-buffering,Streaming_Synchronization index,Streaming_Throughput,Streaming_Inter packet delay,Streaming_Jitter,Streaming_Packet loss rate,Streaming_Round trip time,Gaming_Startup time,Gaming_MOS,Gaming_Dropped frame rate,Gaming_Reproduction start failure rate,Gaming_Reproduction start delay,Gaming_Throughput,Gaming_Inter packet delay,Gaming_Jitter,Gaming_Packet loss rate,Gaming_Round trip time,Chatting_DNS lookup attempt,Chatting_Avg ping time,Chatting_App login time
HLV,14:00,4162,34645,21061,2346,2466,2111,2326,2422,1913,130.47,1798.76,397.17,-77.67,21.98,-8.41,99.15,99.36,160.68,0.27,70.78,99.96,56.11,4,44.7,99.55,99.01,242.84,0.82,97.42,1.3,0.48,440.45,4,0.16,1,0.5,0.66,617.58,396.6,1,0.49,6.01,84.47,71.66,0.46,68.75,710.13,4,0.88,0.13,816.02,2.88,92.43,49.29,0.57,66.39,3,91.16,57.31
JRE,14:00,2703,31110,20046,1955,1500,2335,1885,2123,1265,136.14,2070.79,391.36,-86.75,17.87,-10.46,97.57,98.66,278.68,0.68,61.47,99.61,55.75,5,85.12,99.3,99.97,233.85,0.34,79.36,1.19,0.1,974.88,5,0.12,3,0.25,0.25,503.64,740.99,3,0.76,5.45,57.67,82.01,0.63,41.28,586.52,5,0.72,0.07,321.68,4.05,92.83,76.28,0.52,90.14,1,75.62,91.11
JRI,14:00,3525,31071,19331,1983,2101,2369,1339,1986,1963,17.36,2456.88,417.57,-78.77,21.74,-9.5,97.67,99.31,174.09,0.9,71.84,99.02,94.73,5,46.04,98.17,98.7,193.7,0.17,67.62,1.19,0.41,307.83,4,0.69,3,0.24,0.09,893.17,540.6,1,0.9,2.57,77.97,57.66,0.27,55.03,714.86,4,0.82,0.89,418.96,4.06,33.94,90.16,0.96,90.62,3,78.22,98.74
JRW,14:00,2292,33047,20654,2194,2066,1789,2126,1886,2332,210.19,1909.08,399.93,-89.96,19.37,-10.91,99.82,99.41,282.38,0.25,75.57,98.84,74.04,4,36.84,99.42,99.28,294.2,0.16,49.92,1.23,0.37,690.28,5,0.71,2,0.58,0.86,452.76,596.48,2,0.3,9.56,61.75,77.72,0.55,63.7,366.08,4,0.81,0.74,988.95,9.46,52.56,52.54,0.38,52.89,3,76.3,49.06
KLG,14:00,2610,34903,20167,1496,2422,3161,2544,2472,2641,64.69,1325.94,400.33,-78.71,18.85,-8.76,97.33,98.5,287.61,0.09,34.09,99.79,58.05,4,56.08,99.86,97.53,295.33,0.88,74.13,1.09,0.35,521.11,5,0.42,1,0.36,0.77,979.53,850.06,2,0.16,9.56,84.44,74.39,1,80.36,604.24,5,0.73,0.22,392.02,3.16,57.94,40.82,0.32,57.33,3,88,80.38
KRD,14:00,3163,31389,21148,1050,1343,2277,1668,1835,2068,174.13,1306.93,392.50,-86.44,17.5,-10.41,99.21,99.08,228.93,0.27,30.57,99.19,35.05,5,45.78,98.45,99.42,247.53,0.36,84.3,1.33,0.16,594.87,4,0.73,2,0.95,0.78,455.05,377.97,2,0.86,8.36,88.49,89.91,0.29,82.98,766.54,5,0.18,0.78,541.62,8.95,99.2,87.4,0.78,60.88,3,87.13,92.88
KRJ,14:00,1565,33362,20637,1590,1948,1549,2429,2663,2545,133.58,2559.44,385.78,-76.25,23.01,-10.64,99.76,97.72,171.93,1,78.23,98.77,88.38,5,59.97,98.88,98.43,230.48,0.86,50.83,1.34,0.22,930.33,5,0.91,2,0.34,0.67,641.24,864.11,3,0.46,2.47,90.75,30.38,0.43,49.9,960.46,4,0.4,0.26,707.21,1.58,57.97,59.99,0.25,44.64,2,98.91,70.24
LCK,14:00,2785,32113,19744,3002,2111,904,2214,1889,2250,76.11,2233.95,387.05,-88.09,20.21,-9.34,98.69,98.24,229.7,0.39,44.68,99.51,59.4,5,77.87,97.03,97.54,180.14,0.7,73.45,1.4,0.48,580.99,4,0.44,2,0.99,0.51,520.15,929.17,3,0.49,3.15,63.49,56.39,0.78,51.84,667.91,4,0.73,0.45,901.52,5.26,39.47,33.35,0.46,51.01,1,83.64,81.83
LTG,14:00,4476,32740,20173,1531,2130,2573,2178,1684,2471,24.11,2356.88,381.79,-80.6,21.27,-9.58,98.56,99.17,192.35,0.62,48.77,97.58,99.18,4,89.27,98.59,97.66,217.31,0.93,55.97,1.8,0.35,485.64,5,0.71,2,0.21,0.76,919.52,632.21,3,0.83,2.24,50.08,66.41,0.12,39.94,349.44,4,0.38,0.07,667.2,4.35,97.83,84.27,0.69,35.17,2,70.65,52.51
MBY,14:00,2897,32239,20291,1946,1404,1877,2645,2516,1560,175.08,2685.95,424.99,-84.15,21.56,-9.11,97.43,98.24,296.36,0.91,36.1,99.81,98.6,5,50.29,97.08,99.62,198.67,0.48,48.59,1.95,0.21,843.58,4,0.55,2,0.45,0.12,612.82,827.07,2,0.55,5.84,31.26,63.96,0.68,90.81,547.1,5,0.72,0.17,909.65,2.27,65.6,90.28,0.39,93.5,3,85.59,75.33
MND,14:00,2151,31581,19277,2351,2394,2612,1939,1559,1448,100.71,1671.64,386.16,-79.18,22.39,-11.72,99.35,99.86,270.13,0.88,63.4,99.88,77.71,5,90.94,99.93,98.84,297.1,0.71,91,1.39,0.27,902.86,4,0.56,1,0.35,0.48,641.32,620.36,1,0.99,9.88,85.83,35.01,0.36,86.29,494.11,4,0.55,0.57,817.49,5.35,96.2,72.66,0.23,76.36,1,45.83,87.77
MPR,14:00,2691,31756,18865,2426,2519,2779,1303,1584,2280,90.25,2274.00,397.19,-82.1,21.5,-9.81,99.04,99.64,193.32,0.39,56.09,98.78,64.92,4,83.62,98.43,99.32,206.75,0.91,94.83,1.31,0.38,985.7,5,0.76,2,0.56,0.93,453.33,947.87,2,0.23,8.86,97.84,91.73,0.12,99.97,489,5,0.2,0.9,803.65,8.67,87.53,37.51,0.47,88.66,3,95.99,67.59
MSL,14:00,3993,31358,20201,1679,2078,1685,1995,1861,1859,23.68,1887.81,386.51,-84.94,17.34,-9.27,98.56,99.9,244.47,0.3,97.86,98.44,56.88,5,92.68,99.56,98.45,255.34,0.22,47.99,1.79,0.19,977.87,5,0.92,2,0.86,0.65,930.69,656.97,2,0.21,3.74,46.31,75.04,0.19,78.93,658.69,5,0.98,0.86,754.32,9.85,81.58,75.03,0.91,64.78,1,91.68,68.57
ORC,14:00,1484,32444,20611,2403,1862,2323,1648,2432,1164,58.32,2461.56,351.46,-81.48,21.29,-11.34,99.36,98.07,256.06,0.32,80.97,98.97,56.99,5,47.53,99.65,97.66,187.35,0.65,64.57,1.6,0.48,672.94,5,0.58,2,0.69,0.51,467.12,870.55,3,0.45,7.87,83.54,39.17,0.77,64.97,728.81,5,0.24,0.19,883.33,3.4,51.33,45.47,0.21,39.36,2,57.16,54.16
PGL,14:00,4282,34989,20125,3132,2015,2078,3229,1995,2415,141.91,2741.04,382.00,-88.64,17.53,-8.49,99.17,98.17,171.72,0.73,79.2,97.36,67.72,4,92.95,97.7,98.69,264.37,0.89,95.02,1.8,0.2,910.47,4,0.77,1,0.59,0.21,492.38,792.96,2,0.54,5.03,85.4,35.23,0.69,60.9,676.99,4,0.14,0.25,313.28,9.92,85.25,37.26,0.16,32.78,3,60.9,60.48
PLB,14:00,3577,33196,21699,1330,2203,2832,1369,2226,1537,-7.70,1363.29,422.32,-82.4,23.64,-8.33,97.1,97.72,192.52,0.96,98.36,97.81,45.62,4,31.22,99.2,98.62,198.46,0.37,66.49,1.79,0.35,792.43,4,0.6,3,0.07,0.74,453.84,542.53,2,0.67,6.25,45.61,42.64,0.17,60.77,414.7,5,0.64,0.54,771.36,4.64,52.53,99.41,0.32,86.48,2,51.85,39.38
PNR,14:00,2475,31926,18037,2105,2702,2297,2072,2545,2168,101.43,2613.75,427.49,-77.28,23.44,-10.35,97.55,99.19,243.17,0.94,95.01,98.7,41.85,5,96.69,99.74,98.4,237.23,0.91,98.04,1.21,0.31,368.19,5,0.52,1,0.55,0.62,784.06,844.79,1,0.12,7.26,74.6,44.16,0.54,36.03,975.04,4,0.68,0.2,308.39,2.24,31.8,94.62,0.35,83.05,2,91.87,37.29
PRS,14:00,3077,29930,19638,1729,1493,2363,1345,1890,1472,49.04,1991.63,399.95,-78.54,23.75,-10.86,99.8,98.05,246.68,0.19,34.65,97.77,51.83,5,43.58,97.58,99.06,284.59,0.11,61.11,1.67,0.14,907.11,5,0.6,1,0.13,0.54,495.67,805.46,2,0.42,4.59,33.23,50.78,0.1,64.88,993.32,4,0.89,0.11,991.03,9.38,65.61,95.63,0.09,34.56,1,58.3,98.78
PTK,14:00,3262,30342,18471,2264,2381,1553,1375,1979,2319,83.93,2059.00,372.37,-77.56,16.86,-10.74,99.81,97.24,286.03,0.78,38.06,97.58,79.3,4,86.63,98.35,98.63,211.89,0.94,98.16,1.42,0.43,477.85,4,0.84,2,0.69,0.79,588.94,432.5,2,0.47,6.92,87.72,98.15,0.7,39.8,535.69,4,0.34,0.28,563.62,9.91,43.33,66.44,0.9,68.22,3,99.11,64.19
PUB,14:00,1959,31106,20551,1373,1296,2110,1969,2038,1769,138.85,1071.31,437.75,-89.29,17.75,-8.02,99.84,98.3,169.28,0.81,47.75,99.2,70.52,4,44.43,98.55,97.23,291.29,0.69,74.19,1.12,0.3,985.46,4,0.31,3,0.96,0.43,855.29,741.49,1,0.28,6.29,75.71,93,0.62,60.46,544.27,4,0.33,0.22,916.56,4.64,78.39,78.49,0.11,36.93,2,38.74,98.76
SDM,14:00,2079,30810,19565,2126,1809,2506,820,1953,2031,78.15,2252.39,341.44,-70.07,21.3,-8.24,99.45,97.25,282.71,0.15,56.58,97.13,49.67,4,42.02,97.59,99.19,164.94,0.13,52.55,1.15,0.18,914.75,4,0.81,3,0.5,0.1,965.39,793.48,1,0.95,6.89,72.84,48.41,0.41,47.97,378.28,5,1,0.96,908.47,4.84,72.66,71.22,0.78,39.63,1,62.72,56.83
SHW,14:00,3467,30452,19370,2282,1351,2105,1653,2336,1355,51.56,1862.94,400.33,-82.44,23.21,-9.32,99.25,98.87,214.05,0.71,98.03,98.74,51.75,5,77.88,98.88,97.39,161.08,0.6,45.35,1.9,0.14,613.92,5,0.37,3,0.84,0.95,453.83,488.26,1,0.87,3.17,91.54,96.33,0.21,84.85,820.98,4,0.36,0.64,718.39,5.2,55.83,66.5,0.5,74.3,1,73.34,83.18
SKG,14:00,3311,30212,20246,1410,1830,812,2035,2105,1774,150.40,2433.50,417.44,-83.87,23.96,-8.07,98.68,98.44,155.93,0.09,85.25,98.06,72.01,4,83.63,98.74,99.93,278.74,0.36,85.72,1.66,0.37,420.44,4,0.52,1,0.46,0.4,627.42,965.74,3,0.63,5.62,55.49,61.88,0.43,91.14,728.19,4,0.89,0.76,853.74,9.05,66.4,76.34,0.09,93.6,1,78.14,62.34
SMB,14:00,1881,31622,19541,1894,2269,2108,1509,2289,2012,121.15,2570.64,389.89,-74.3,17.51,-10.2,99.88,99.01,282.2,1,30.12,97.36,83.49,4,92.54,99.19,97.38,209.16,0.59,32.21,1.58,0.12,312.74,5,0.82,3,0.17,0.63,543.85,819.16,2,0.55,3.3,99.17,66.24,0.8,90.84,453.63,5,0.41,0.09,413.1,6.55,98.68,54.68,0.98,87.8,3,32.66,81.9
SMI,14:00,3478,32500,21384,1552,1260,1777,2334,2411,1783,62.98,2065.89,344.60,-73.8,20.25,-9.74,97.23,99.49,299.69,0.85,63.16,100,35.78,4,68.37,99.74,99.84,256.09,0.41,73.87,1.64,0.32,894.22,5,0.82,2,0.56,0.39,536.28,735.56,1,0.41,4.3,33.38,32.11,0.78,50.05,988.75,4,0.43,0.98,612.11,3.74,40.72,59.07,0.88,94.08,3,77.59,49.66
SRG,14:00,4215,33024,20916,2740,2759,1080,2156,1428,1946,21.36,1591.18,346.75,-80.09,20.29,-9,98.1,99.43,177.16,0.69,52.8,97.53,32.09,4,89.17,97.23,98.18,280.56,0.31,81.55,1.2,0.18,480.87,5,0.86,2,0.36,0.11,992.06,407.39,2,0.96,8.47,71.17,99.62,0.63,72.02,907.98,4,0.46,0.25,695.67,9.96,37.14,52.91,0.56,64.69,2,89.66,85.24
STS,14:00,4420,32529,20944,2212,2107,1876,2115,1979,1295,56.18,1599.37,382.48,-73.29,22.15,-8.41,99.49,97.21,271.55,0.2,54.16,97.06,89.76,5,97.18,97.24,97.9,239.17,0.25,59.46,1.79,0.32,742.89,5,0.93,1,0.7,0.9,757.24,400.94,1,0.11,3.49,40.6,56.57,0.66,88.93,550.41,4,0.81,0.39,643.24,2.7,81.6,83.74,0.38,36.97,1,48.43,65.59
TBL,14:00,5055,30048,20290,1359,1702,1595,1612,1594,1896,87.34,2011.13,441.23,-83.13,19.33,-9.1,97.08,98.88,285.45,0.29,91.73,97.29,37.27,4,74.84,99.89,99.12,217.52,0.55,90.88,1.93,0.12,643.22,5,0.12,3,0.65,0.56,379.76,576.86,3,0.42,1.36,89.16,87.79,0.28,94.06,486.85,5,0.43,0.93,621.4,6.95,56.79,89.33,0.87,49.29,2,89.86,66.79
TGL,14:00,4073,31730,20963,1575,2078,1492,851,2188,2584,33.30,1309.71,410.47,-74.71,18.76,-9.6,97.58,97.85,200.41,0.84,64.92,99.35,81.15,4,77.61,99.02,97.58,232.78,0.52,66.82,1.78,0.49,815.09,5,0.3,3,0.33,0.78,732.16,782.5,1,0.8,4.64,50.29,70.69,0.16,97.97,461.44,4,0.69,0.49,399.84,2.85,58.66,97.36,0.74,78.7,1,63.25,59.6
TMP,14:00,2127,31912,18148,2345,3059,2054,2101,2312,1893,111.01,1801.57,387.66,-82.4,17.8,-9.58,99.23,97.09,174.75,0.23,35.08,99.87,52.31,5,76.91,97.19,98.09,232.36,0.5,47.02,1.65,0.4,900.58,5,0.65,1,0.17,0.95,438.02,425.97,3,0.84,4.73,46.94,68,0.83,44.2,653.01,4,0.83,0.8,793.42,7.45,30.62,63.3,0.23,76.24,3,59.15,77.97
TMS,14:00,2634,34322,22116,1959,3160,1262,2042,2178,1605,5.68,1691.28,365.11,-80.6,19.57,-10.38,97.24,98.52,168.9,0.48,67.22,98.79,87.82,4,95.5,98.93,99.43,283.63,0.72,80.11,1.24,0.17,390.84,4,0.34,3,0.67,0.26,659.16,976.37,3,0.67,8.85,94.93,87.16,0.53,41.95,903.16,4,0.87,0.33,425.57,5.17,68.43,95.48,0.78,89.21,2,81.93,88.46
TPY,14:00,3945,31245,19502,1812,1855,1768,1497,2558,2253,139.26,1740.78,412.42,-89.17,17.93,-8.03,97.15,99.51,167.14,0.33,78.97,97.61,50.26,5,86.6,99.56,97.94,196.12,0.67,73.82,1.72,0.21,739.9,4,0.44,2,0.97,0.21,683.68,520.3,3,0.32,9.47,50.68,96.01,0.11,75.89,733.99,4,0.3,0.07,709.42,5.63,89.83,41.75,0.22,64.32,3,64.17,88.35
TUS,14:00,2524,32059,20724,1803,1922,1773,2832,1546,1459,-2.09,1778.19,403.34,-87.85,16.72,-9.4,98.61,97.37,257.67,0.87,39.12,98.53,43.36,4,99.63,99.67,98.51,248.91,0.56,46.59,1.71,0.36,548.37,4,0.98,1,0.57,0.84,661.22,647.32,2,0.22,7.86,98.7,78.52,0.52,69.32,617.98,5,0.23,0.63,743.61,2.25,87.57,90.79,1,31.25,2,41.92,41.85
WLD,14:00,2384,31714,19457,2115,1626,1999,1807,2705,2005,47.27,1854.45,416.26,-71.14,20.89,-10.07,97.91,97.48,265.32,0.63,72.72,97.92,34.72,4,42.72,99.01,98.05,256.41,0.7,50.79,1.45,0.25,915.7,4,0.5,1,0.59,0.4,620.98,764.65,3,0.72,1.71,69.19,39.18,0.83,36.58,618.87,5,0.9,0.18,817.35,2.3,80.45,71,0.49,40.53,2,33.1,32.13
YCK,14:00,4242,33095,20118,2761,1718,1896,2927,1216,2459,151.29,3161.97,403.50,-70.33,18.04,-9.54,98.06,97.66,296.98,0.65,88.17,97.98,35.19,4,71.76,99.24,99.4,227.42,0.52,85.25,1.78,0.34,966.89,4,0.43,1,0.68,0.48,872.34,703.71,3,0.37,5.59,96.55,63.05,0.6,74.9,620.99,5,0.12,0.29,544.16,9.57,90.02,74.93,0.34,44.73,3,78.38,74.42
YSH,14:00,2958,33068,21202,1922,1523,2407,2296,1954,1764,83.73,2556.77,378.48,-72.85,21.94,-9.63,98.85,99.81,203.25,0.95,74.08,99.88,30.62,5,92.19,99.46,97.2,287.13,0.13,79.31,1.77,0.29,806.84,4,0.79,3,0.54,0.1,383.76,861.4,1,0.95,2.85,58.57,57.69,0.64,39.31,620.09,4,0.85,0.31,947.33,6.03,89.41,56.67,0.25,56.22,3,34.96,30.29
ALX,15:00,1707,31509,20626,2558,1817,2328,797,2119,1263,61.81,2460.64,393.92,-83,18.25,-10.68,98.18,97.23,255.03,0.75,51.66,99.18,59.63,5,86.43,99.66,97.55,208.2,0.51,64.04,1.74,0.37,420.95,4,0.92,3,0.36,0.88,988.39,698.53,1,0.55,2.22,60.37,64.81,0.92,69.15,613.62,5,0.75,0.71,336.04,3.91,91.48,92.45,0.44,52.76,3,77.29,88.38
AMK,15:00,2911,31480,19207,1748,2421,2145,1289,2400,2270,220.10,1571.12,407.59,-72.48,18.1,-10.47,99.31,99.58,263.16,0.45,73.38,99.46,62.51,5,61.22,98.26,98.95,296.31,0.45,50.5,1.54,0.33,903.88,4,0.44,1,0.12,0.64,362.06,311.13,3,0.36,5.26,59.75,80.32,0.48,31.19,471.38,4,0.99,0.41,696.81,6.15,89.82,79.98,0.24,64.99,2,82.51,88.96
ART,15:00,5042,30679,19518,2001,1492,1764,1016,2875,2013,85.59,1844.41,423.96,-70.78,18.28,-9.11,97.69,97.11,162.21,0.4,51.16,98.89,76.37,4,66.22,99.09,99.99,249.68,0.68,76.73,1.81,0.33,373.65,4,0.83,2,0.73,0.85,702.19,626.35,3,0.1,2.5,95.17,56.86,0.72,62.89,808.82,5,0.63,0.61,960.74,8.82,62.18,82.06,0.82,51.74,3,92.02,46.89
AYE,15:00,2767,32162,20387,1657,1449,1651,2001,2425,2592,157.58,2018.70,405.42,-74.27,18.76,-9.38,97.2,98.38,204.56,0.94,35.77,97.82,39.76,5,65.49,97.15,99.18,211.97,0.22,51.54,1.23,0.16,520.66,4,0.66,1,0.68,0.65,315.22,900.49,1,0.61,7.76,70.17,68.87,0.68,40.78,386.72,4,0.66,0.87,538.25,1.7,46.84,79.53,0.77,75.26,3,66.32,62.65
BDK,15:00,2677,32999,21638,1507,2124,1767,1793,2739,1430,-10.44,1209.37,367.84,-70.44,16.63,-10.48,99.74,98.92,274.74,0.76,43.47,98.14,93.12,4,49.54,97.01,98.88,159.64,0.41,70.08,1.03,0.25,777.86,4,0.97,3,0.93,0.27,390.68,453.92,1,0.28,6.18,44.75,59.4,0.74,55.45,992.94,4,0.87,0.34,441.53,4.97,65.78,43.55,0.31,64.23,2,89.59,93.8
BKK,15:00,3081,30689,18434,1924,2518,1150,1840,2031,2792,257.75,2634.99,348.30,-80.83,16.3,-10.1,97.56,98.49,272.95,0.36,96.74,98.42,64.27,5,37.79,98.84,97.73,190.42,0.24,37.08,1.27,0.47,757.3,4,0.49,1,0.54,0.86,809.85,859.96,1,0.22,7.09,79.95,88.99,0.14,82.17,750.13,5,0.11,0.8,429.09,6.65,52.63,42.64,0.42,31.6,2,93.15,56.41
BKT,15:00,3686,31509,18886,1797,1853,2021,2713,1602,2637,177.66,2097.22,433.80,-76.67,21.25,-8.77,97.48,98.32,177.78,0.65,65.18,99.57,70.08,5,31.86,97.03,98.14,203.48,0.88,55.14,1.26,0.28,599.8,5,0.96,2,0.41,0.93,367.03,984.31,1,0.12,5.9,75.34,56.69,0.61,42.87,562.22,5,0.62,1,486.56,6.94,73.2,86.6,0.09,53.34,2,84.46,91.02
BLT,15:00,4038,30816,20462,1613,2028,2135,1393,2042,1144,36.96,1861.13,422.86,-79.92,19.46,-11.91,99.84,98.31,211.77,0.51,92.06,97.56,35.85,5,30.27,98.1,98.54,244.52,0.52,89.13,1.9,0.11,356.02,5,0.77,3,0.12,0.18,482.81,636.74,3,0.16,1.38,87.06,80.16,0.68,95.58,679.51,5,0.53,0.73,844.98,5.59,96.09,80.88,0.27,66.82,3,86.59,88.04
BLY,15:00,3734,35522,21839,2198,2913,1965,2406,2085,2116,213.23,2445.30,389.35,-79.87,20.35,-11.45,98.17,97.1,195.73,0.46,88.23,99,46.54,4,78.22,97.39,99.65,177.14,0.7,38.44,1.82,0.41,332.64,5,0.15,1,0.45,0.59,327.29,324.21,2,0.66,2.43,81.27,64.08,0.6,73.26,382.17,5,0.5,0.6,671.2,6.42,30.45,57.52,0.53,71.71,3,45.53,51.88
BSN,15:00,1952,30861,18808,1949,1769,1842,1898,2153,2443,96.98,1920.09,407.39,-88.87,16.58,-10.68,98.54,99.44,265.4,0.16,44.46,98.68,58.34,4,82.53,99.06,98.01,223.99,0.13,42.39,1.99,0.11,388.43,4,0.61,1,0.68,0.53,408.22,919.13,1,0.21,7.38,49.49,79.28,0.86,59.28,332.61,5,0.09,0.49,383.91,6.81,63.65,61.24,0.88,65.96,2,82.72,44.55
BTB,15:00,2764,32022,20294,1741,2062,1928,1544,2267,2187,135.98,1787.59,387.57,-73.53,22.34,-9.73,99.75,97.68,178.84,0.54,83.4,98.15,60.45,4,41.57,97.52,99.06,255.33,0.46,34.59,1.03,0.37,319.53,4,0.14,2,1,0.16,974.66,685.21,2,0.47,4.85,41.23,70.08,0.31,72.59,334.76,4,0.29,0.09,760.24,8.56,64.95,91.7,0.57,77.99,3,99.66,83.26
BTP,15:00,1572,32028,18687,2730,2714,2209,1846,2067,1775,59.62,1971.85,384.27,-86.11,20.4,-11.49,99.88,97.81,243.44,0.17,66.58,99.18,78.32,4,97.53,97.35,99.19,270.11,0.95,66.36,1.77,0.1,955.07,5,0.96,2,0.69,0.91,668.42,737.06,2,0.55,2.79,68.9,87.1,0.39,84.22,438.36,5,0.32,0.58,672.03,4.67,79.75,99.55,0.68,75.55,1,81.3,90.52
CCK,15:00,2950,30392,19232,2673,1329,2252,1350,2076,1480,115.63,1259.59,410.13,-80.43,22.83,-10.7,99.98,97.1,182.39,0.57,76.75,98.1,71.45,4,86.39,99.35,98.2,220.64,0.97,82.92,1.74,0.32,924.24,4,0.1,2,0.9,0.33,650.58,900.83,1,0.2,4.4,84.81,91.48,0.69,47.24,672.51,5,0.53,0.52,995.84,8.16,59.35,82.51,0.79,42.78,1,51.91,94.78
CLM,15:00,4144,33608,20681,2564,1230,1685,2294,2202,2952,48.32,1994.34,392.64,-72.12,16.31,-9.7,99.75,99.15,205.15,0.59,34.93,97.57,31.32,4,92.84,97.35,97.86,167.18,0.97,88.93,1.44,0.39,501.31,5,0.99,2,0.4,0.65,372.16,794.21,3,0.25,6.14,96.47,52.83,0.17,98.52,836.58,5,0.94,0.8,342.94,2.55,52.69,44.82,0.07,59.31,3,66.55,36.45
CNG,15:00,1720,34220,22245,1884,1710,2673,1861,1868,1979,148.27,1403.57,412.33,-77.68,17.81,-10.97,97.29,97.91,266.76,0.52,88.47,99.85,33.06,5,46.23,98.79,97.86,169.74,0.51,50.24,1.21,0.14,391.97,4,0.54,1,0.16,0.52,819.29,355.44,2,0.47,1.72,57.26,39.27,0.31,36.44,618.26,4,0.1,0.29,998.33,2.79,33.78,54,0.77,38.33,3,61.54,34.53
CTH,15:00,3544,32867,20018,2237,2642,2070,1994,1853,2053,97.86,1811.13,418.21,-74.58,22.14,-11,97.82,99.68,221.87,0.53,84.51,98.16,81.15,4,67.75,99.92,98.07,162.11,0.88,62.17,1.75,0.34,836.16,5,0.5,1,0.33,0.87,793.54,572.65,3,0.56,6.47,87.18,62.9,0.19,35.52,707.8,4,0.76,0.12,947.7,9.92,76.75,71.49,0.47,44.88,3,71.07,59.54
ECS,15:00,2266,31247,19602,1824,2014,1828,1712,2376,1892,136.49,2206.33,398.87,-78.09,19.38,-8.62,98.07,98.43,175.94,0.51,94.28,97.89,33.66,4,59.64,98.89,98.82,194.61,0.8,75.25,1.55,0.33,632.3,5,0.6,3,0.79,0.28,315.21,871.32,3,0.3,7.28,45.82,92.16,0.3,32.07,401.27,5,0.74,0.56,540.09,7.31,77.38,33.54,0.39,34.53,1,49.11,77.92
GUL,15:00,1523,33589,20876,1604,2282,2789,2300,2019,1719,188.82,775.15,384.70,-81.27,22.35,-10.88,98.98,97.95,221.07,0.93,70.67,98.46,35.36,5,37.16,97.54,97.97,177.69,0.45,41.19,1.67,0.1,729.07,4,0.61,1,0.09,0.34,352.16,817.68,1,0.27,3.03,56.64,73.53,0.56,67.71,439.6,4,0.51,0.14,600.34,5.29,53.8,50.34,0.32,92.32,2,85.85,40.15
HGG,15:00,2636,31896,18961,2529,1807,1929,2079,2313,2280,76.79,2149.86,404.02,-74.36,17.71,-8.57,98.27,99.72,153.48,0.63,42.37,98.45,52.59,4,93,99.75,99.28,224.06,0.09,97.43,1.07,0.42,499.26,5,0.82,1,0.65,0.77,953.5,420.42,3,0.48,6.29,49.77,98.9,0.65,88.28,361.95,4,0.16,0.18,834.28,4.26,37.98,98.96,0.21,81.02,3,83.8,85.52
HLV,15:00,1851,31789,20682,2090,1454,2244,1364,1874,2081,21.65,2467.20,388.30,-79.22,16.24,-10.61,99.37,99.28,169,0.75,99.63,97.38,30.01,4,47.88,98.55,97.24,250.88,0.21,38.1,1.01,0.14,708.99,4,0.75,2,0.98,0.2,672.61,978.76,2,0.77,3.64,93.64,54.13,0.36,79.73,487.72,5,0.07,0.47,538.59,1.75,96.84,62.26,0.51,98.28,3,67.93,75.09
JRE,15:00,2405,31781,19385,2118,2249,1971,2090,2524,1444,10.59,1976.51,422.77,-72.56,16.46,-10.97,99.46,98.32,189.82,0.1,69.22,97.84,52.32,4,97.73,99.41,98.63,231.65,0.82,32.35,1.6,0.25,873.7,4,0.42,2,0.07,0.67,973.85,903.85,3,0.92,7.37,87.99,85.78,0.48,99.59,739.62,5,0.95,0.95,963.33,2.46,33.06,90.39,0.5,31.15,3,38.94,58.06
JRI,15:00,2792,33498,20249,2126,2565,2535,1740,1661,2622,108.30,1458.45,405.12,-73.42,22.45,-9.46,98.36,97.39,256.4,0.65,71.46,99.17,60.62,4,37.42,99.99,97.25,292.09,0.52,85.69,1.74,0.45,584.74,5,0.91,2,0.81,0.99,989.23,815.84,2,0.11,7.7,67.14,91.24,0.09,89.52,304.35,5,0.67,0.24,385.88,6.28,44.9,38.62,0.41,48.12,3,33.98,48.68
